"wot_key","Shop.y","service_group","wo_type","wot_status","status_duration","time_bucket","wot_description","Project","Activity","asset_id","tag_number","serial_id","asset_description","year_num","week_num","Unit","Work.Order","Task.No.","Sequence","PC.Bus.Unit","Business.Unit","Dependency","Removal.Task","To","Overlap","Duration.x","Asset.Up","Location","Status","Status.Dt.Tm","Required.Start","Start.Time","Scheduled.Start","Start.Time.1","Scheduled.End","End.Time","End","End.Time.1","Act..End.Dttm","Actual.Start","Start.Time.2","Actual.End","End.Time.2","Act..Start.Dttm","Passive.Proj.","Scheduler","Lead.Person","Closed.Dt","Completed.Date","Est..Labor.Cost","Es..Material.Co","Est..Tools.Cost","Est..PO.cost","Schedule.Labor","Material.Cost","Tools.Cost","Purchase.cost","Act..Labor.Cost","Actual.Cost","Act..Tools.Cost","Actual.Cost.1","Downtime.hours","Failure.Date","Rate","Recover.Cost","Name","Supplier","Supp.Cntct","Claim.ID","Problem.Group","Problem","Cause","Resolution","Action","Needs.Repair","Supervisor","Labor","Tools","Inventory","Purchase.OnHand","Requirement.Ln","Requirement.Ln.1","Requirement.Ln.2","Line.No","Requirement.Ln.3","Requirement.Ln.4","Requirement.Ln.5","Requirement.Ln.6","Alert","Chargeback","Rate.Select","Rate.Set","Ret.Type","Cap.Flag","Currency","Filter.ID","Min.Cap","Amount.to","Man.Close","Custodian","Component.of","ID","Dept","WO.Job.Tmplt","WO.Task.Tmplt","Commit.Rule","Status.1","Reserve.Rule","Status.2","Priority","Business.Unit.1","Shop.x","Crew","Area.ID","Type","Last.Sent","Last.Updated","Updated.By","Last.Updt","sched_start_duration","sched_start_month","sched_start_year","pc_bus_unit","Duration.y","asset_key"
"STAUS-717-1","PERTH","DRILL SUPP","PREJB","OPEN",250,"6M-1Y","CL 4 - 6 Gear box",218953,"8000","11581","ER00568","ER00568","API 17D TORQUE TOOL GEAR BOX CL 4-6",2023,30,"STAUS",717,1,10,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC05",1,2022-11-16,"18/11/2022","12:00:00.000000AM",2022-11-18,"12:00:00.000000AM","21/11/2022","11:59:00.000000PM","21/11/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","15/05/2023  3:47:51PM",248,11,2022,"B0811",1,"BUSTR-11581"
"STAUS-717-2","PERTH","DRILL SUPP","PREJB","OPEN",250,"6M-1Y","CL 4 - 5 Gear box",218953,"8000","12030","ER01567","ER01567","CLASS 4-5 GEARBOX",2023,30,"STAUS",717,2,20,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC05",1,2022-11-16,"18/11/2022","12:00:00.000000AM",2022-11-18,"12:00:00.000000AM","21/11/2022","11:59:00.000000PM","21/11/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","15/05/2023  3:47:51PM",248,11,2022,"B0811",1,"BUSTR-12030"
"STAUS-736-6","PERTH","DRILL SUPP","PSTJB","PSCH",225,"6M-1Y","FLYING LEAD ORIENTATION TOOL",217015,"7000","18072","AU0227","AU0227","FLYING LEAD ORIENTATION TOOL",2023,30,"STAUS",736,6,60,"B0811","BUSTR",0,NA,0,0,7.25,NA,"APAC18",1,2022-12-11,"08/12/2022","12:00:00.000000AM",2022-12-08,"12:00:00.000000AM","09/01/2023","11:59:00.000000PM","01/07/2023","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,2,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","LFT_PRE_POST",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","29/05/2023 12:58:08AM",228,12,2022,"B0811",1,"BUSTR-18072"
"STAUS-736-9","PERTH","DRILL SUPP","PSTJB","PSCH",225,"6M-1Y","MERLIN PUMP",217015,"7000","26076","AU0665","MSZ-321396","MERLIN PUMP",2023,30,"STAUS",736,9,90,"B0811","BUSTR",0,NA,0,0,1,NA,"ROVMG158",1,2022-12-11,"08/12/2022","12:00:00.000000AM",2022-12-08,"12:00:00.000000AM","09/01/2023","11:59:00.000000PM","01/07/2023","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","29/05/2023 12:58:08AM",228,12,2022,"B0811",1,"BUSTR-26076"
"STAUS-728-5","PERTH","CLIENTOWN","PLAN","OHOT",223,"6M-1Y","Place equipment on pallet racking, take photos",198422,"1061",NA,NA,NA,NA,2023,30,"STAUS",728,5,50,"B0811","B0811",0,NA,0,0,4,NA,"",1,2022-12-13,"07/12/2022","12:00:00.000000AM",2022-12-07,"12:00:00.000000AM","09/12/2022","11:59:00.000000PM","09/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,1,2,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","15/05/2023  3:50:44PM",229,12,2022,"B0811",24,NA
"STAUS-736-4","PERTH","DRILL SUPP","PSTJB","OHWP",217,"6M-1Y","TORQUE TOOL TEST JIG CLASS 5",217015,"7000","18050","AU0168","AU0168","NM API CLASS TEST JIG 5000NM API CLASS 4",2023,30,"STAUS",736,4,40,"B0811","BUSTR",0,NA,0,0,2,NA,"APAC18",1,2022-12-19,"08/12/2022","12:00:00.000000AM",2022-12-08,"12:00:00.000000AM","09/01/2023","11:59:00.000000PM","01/07/2023","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","LC_PRE_POST",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","29/05/2023 12:58:08AM",228,12,2022,"B0811",1,"BUSTR-18050"
"STAUS-724-11","PERTH","DRILL SUPP","PSTJB","OHWP",216,"6M-1Y","17H Hotstab brush",220662,"7000","24669","AU0646","AU0646","17H Hotstab brush",2023,30,"STAUS",724,11,110,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC11",1,2022-12-20,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"20/12/2022"," 8:00:00.000000AM","20/12/2022"," 5:00:00.000000PM",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-24669"
"STAUS-724-3","PERTH","DRILL SUPP","PSTJB","PSCH",214,"6M-1Y","GASKET RRMOVAL RT - AX VX",220662,"7000","18001","AU0076","AU0076","3 INCH GASKET RRT",2023,30,"STAUS",724,3,30,"B0811","BUSTR",0,NA,0,0,8,NA,"APAC20",1,2022-12-22,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","APAC_AX/VX GRRT_PST",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-18001"
"STAUS-724-16","PERTH","DRILL SUPP","PSTJB","PSCH",214,"6M-1Y","9 GALLON RESERVOIR",220662,"7000","18119","AU0329","AU0329","9 GALLON RESERVOIR",2023,30,"STAUS",724,16,160,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC22",1,2022-12-22,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-18119"
"STAUS-724-20","PERTH","DRILL SUPP","PSTJB","PSCH",214,"6M-1Y","TORQUE TOOL MANIPULATOR API BU",220662,"7000","18252","AU0543","AU0543","ROV MANIPULATOR ASSEMBLY",2023,30,"STAUS",724,20,200,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC05",1,2022-12-22,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"J-MW-09-A","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-18252"
