business_segment,business_group,product_type,sales_area,total_costs,safety,class
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsUK,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsNorway,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,RWOCS,ProjectsBrazil,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsUK,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsNorway,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Drill_Support,ProjectsBrazil,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsUK,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsNorway,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Observation,ProjectsBrazil,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Medium_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Medium_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Big_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Big_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsUK,Big_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsNorway,Small_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsNorway,Small_Costs,Med_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsNorway,Small_Costs,High_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsNorway,Medium_Costs,Low_Risks,Not_Offshore
OPG,Engineered_Solutions,Intervention,ProjectsNorway,Medium_Costs,Med_Risks,Not_Offshore
